slug,project_id,title,downloads,categories,game_versions,highest_game_version
xplus-2.0-modpack-global,UCpApD3P,XPlus PerioTable Modpack (Fabric),338967,"['adventure', 'fabric', 'lightweight', 'multiplayer', 'optimization']","['1.16.5', '1.17.1', '1.18.2', '1.19.4', '1.20.1', '1.20.2', '1.20.4', '1.20.5', '1.20.6', '1.21', '1.21.1', '1.21.3', '1.21.4', '1.21.5', '1.21.6', '1.21.7', '1.21.8', '1.21.9', '1.21.10', '1.21.11', '26.1.1', '26.1.2']",26.1.2
backroomsff,KHwMgdkE,Backrooms: Found Footage,336247,"['adventure', 'fabric', 'multiplayer', 'optimization']",['1.20.1'],1.20.1
skyblock-plus,cJJdkNYP,SkyBlock Plus,333200,"['adventure', 'challenging', 'fabric', 'multiplayer']","['1.21', '1.21.1', '1.21.4', '1.21.5', '1.21.6', '1.21.7', '1.21.8', '1.21.10', '1.21.11', '26.1']",26.1
optimizationn,ddF4bxsz,Optimization,308332,"['fabric', 'forge', 'lightweight', 'multiplayer', 'neoforge', 'optimization']","['1.12.2', '1.16.5', '1.17.1', '1.18.2', '1.19.2', '1.19.4', '1.20.1', '1.20.2-rc2', '1.20.2', '1.20.3', '1.20.4', '1.20.5', '1.20.6', '1.21', '1.21.1', '1.21.3', '1.21.4', '1.21.5', '1.21.6', '1.21.7', '1.21.8', '1.21.9', '1.21.10', '1.21.11', '26.1', '26.1.1', '26.1.2']",26.1.2
pokemania,wleDCmw2,Pokemania Cobblemon,303763,"['adventure', 'fabric', 'lightweight', 'multiplayer']",['1.21.1'],1.21.1
elysium-days,lz3ryGPQ,Elysium Days,300319,"['adventure', 'combat', 'fabric', 'lightweight', 'multiplayer', 'optimization', 'quests']",['1.20.1'],1.20.1
vulkan-optimized,u76hn1pF,Vulkan Optimized,298936,"['fabric', 'lightweight', 'multiplayer', 'optimization']","['1.19.4', '1.20.1', '1.21', '1.21.1', '1.21.4', '1.21.5', '1.21.10', '1.21.11']",1.21.11
low-res-trailer-recreation,8xOSkvVU,Low Res Trailer Recreation,290209,"['fabric', 'optimization']","['1.20.1', '1.21', '1.21.5']",1.21.5
spunky-optimized,22jj8tHD,Spunky Optimized,284173,"['combat', 'fabric', 'lightweight', 'multiplayer', 'optimization']","['1.16.5', '1.19.2', '1.20', '1.20.1', '1.20.4', '1.20.6', '1.21', '1.21.1', '1.21.4', '1.21.5', '1.21.6', '1.21.7', '1.21.8', '1.21.9', '1.21.10', '1.21.11', '26.1', '26.1.1']",26.1.1
jonathans-cobblemon-pack,CZmX2vbs,Cobblemon Expanded (by Jonathan),277624,"['adventure', 'fabric', 'lightweight']","['1.20.1', '1.21.1']",1.21.1
heropack-verse-fiskheroes-server,SzFfKsVP,Official HeroPack-Verse SuperHeroes Server,270978,"['adventure', 'challenging', 'combat', 'forge', 'lightweight', 'magic', 'multiplayer', 'optimization', 'quests', 'technology']",['1.7.10'],1.7.10
adrenaline,BYN9yKrV,Adrenaline,261437,"['fabric', 'lightweight', 'multiplayer', 'optimization', 'quilt']","['1.16.5', '1.17.1', '1.18.2', '1.19', '1.19.1', '1.19.2', '1.19.3', '1.19.4', '1.20', '1.20.1', '1.20.2', '1.20.4', '1.20.6', '1.21', '1.21.1', '1.21.3', '1.21.4', '1.21.5', '1.21.7', '1.21.8', '1.21.10', '1.21.11', '26.1', '26.1.1']",26.1.1
conquest-reforged-modpack,kTa7HfI5,Conquest Reforged Modpack (Fabric),258809,"['adventure', 'challenging', 'combat', 'fabric']","['1.19.2', '1.20.1']",1.20.1
the-lost-era,p87Jiw2q,The Lost Era Modpack,252688,"['forge', 'kitchen-sink', 'lightweight', 'magic', 'multiplayer', 'quests', 'technology']",['1.7.10'],1.7.10
prehistoric-world-modpack,tlWx9npV,Prehistoric World,250363,"['adventure', 'challenging', 'combat', 'forge', 'multiplayer', 'quests']",['1.20.1'],1.20.1
hope-and-despair,UeU522Qh,Hope and despair,248780,"['adventure', 'challenging', 'combat', 'forge', 'multiplayer']",['1.20.1'],1.20.1
reimagined-intro-archived,JV4lvByf,Reimagined Intro [MOVED TO NEW PROJECT],248196,"['fabric', 'lightweight', 'optimization', 'technology']","['1.18.2', '1.19.2', '1.20.1', '1.21.1', '1.21.4', '1.21.6', '1.21.7', '1.21.8', '1.21.10', '1.21.11']",1.21.11
better-mc-fabric-bmc3,NHUidpfR,Better MC [FABRIC] - BMC3,243051,"['adventure', 'challenging', 'combat', 'fabric', 'kitchen-sink', 'lightweight', 'multiplayer', 'optimization']","['1.21', '1.21.1']",1.21.1
cobblemon-opted,njITF4u1,Cobblemon Optimized (Pokemon Modpack),241083,"['adventure', 'combat', 'fabric', 'lightweight', 'multiplayer', 'optimization']",['1.21.1'],1.21.1
create-live-5,VUmd23oG,Create Live 5,235150,"['challenging', 'forge', 'multiplayer', 'technology']",['1.20.1'],1.20.1
versatile,SfTr5hl1,Versatile,225585,"['adventure', 'challenging', 'combat', 'fabric', 'kitchen-sink', 'magic', 'multiplayer', 'optimization', 'technology']",['1.19.2'],1.19.2
hypixel-skyblock-for-lunar-client,6jLwq7KU,Hypixel Skyblock for Lunar Client,225578,"['adventure', 'fabric', 'multiplayer', 'quests']","['1.21.5', '1.21.8', '1.21.10', '1.21.11']",1.21.11
ukupvp,JR0bkFKa,uku's pvp modpack,216904,"['combat', 'fabric', 'lightweight', 'multiplayer', 'quilt']","['1.18.2', '1.19.2', '1.19.3', '1.19.4', '1.20.1', '1.20.2', '1.20.4', '1.20.6', '1.21', '1.21.1', '1.21.4', '1.21.5', '1.21.7', '1.21.8', '1.21.10', '1.21.11']",1.21.11
max-fps-optimized,mvhIfZLj,MAX FPS: Optimized,212000,"['fabric', 'forge', 'lightweight', 'multiplayer', 'neoforge', 'optimization', 'quilt']","['1.7.10', '1.12.2', '1.16.5', '1.17.1', '1.18.2', '1.19.2', '1.19.4', '1.20', '1.20.1', '1.20.2', '1.20.3', '1.20.4', '1.20.5', '1.20.6', '1.21', '1.21.1', '1.21.2', '1.21.3', '1.21.4', '1.21.5', '1.21.6', '1.21.7', '1.21.8', '1.21.9', '1.21.10', '1.21.11', '26.1', '26.1.1', '26.1.2']",26.1.2
new-berks-dawn,MQkboJhx,Isle of Berk (Claws of Berk),207617,"['adventure', 'combat', 'forge', 'multiplayer']",['1.18.2'],1.18.2
kimetsunoyaiba,8jHBWQlK,Kimetsu no Yaiba (Demon-Slayer),207500,"['adventure', 'combat', 'forge', 'kitchen-sink']","['1.16.5', '1.20.1']",1.20.1
horizons1,py9uozed,HORIZONS,207149,"['adventure', 'challenging', 'fabric', 'multiplayer', 'optimization']",['1.20.1'],1.20.1
actandbetter,HA3JZt1u,Actions & Better,206049,"['adventure', 'combat', 'fabric', 'multiplayer', 'optimization']","['1.20.1', '1.21.10', '1.21.11']",1.21.11
rtx-on,y7tVcQjg,RTX ON,201349,"['fabric', 'multiplayer', 'optimization', 'technology']","['1.20.2', '1.20.4', '1.20.6', '1.21', '1.21.1', '1.21.4', '1.21.5', '1.21.7', '1.21.8', '1.21.11']",1.21.11
lucky-block-challenge,FycBo1BI,Lucky Block Challenge,196524,"['adventure', 'combat', 'forge', 'lightweight', 'multiplayer', 'neoforge']","['1.16.5', '1.21.1']",1.21.1
jujutsu-kaisen-sorcery-fight,91tn21DV,Jujutsu Kaisen (Sorcery Fight),194336,"['adventure', 'challenging', 'combat', 'forge', 'optimization']",['1.20.1'],1.20.1
harpy-express,qusMP4Bj,The Last Voyage of the Harpy Express,192020,['fabric'],['1.21.1'],1.21.1
better-adventures++,23niDfW7,Better Adventures++,179896,"['adventure', 'fabric', 'quilt']","['1.19.2', '1.20.1', '1.21.1']",1.21.1
superheroes,m2PsjPTL,SuperHeroes,179430,"['adventure', 'combat', 'forge', 'magic', 'technology']","['1.12.2', '1.20.1']",1.20.1
cobblemongg,QnuhhrEb,Cobblemon.gg - Ultimate Pokemon Experience,178757,"['adventure', 'fabric', 'multiplayer', 'technology']","['1.20.1', '1.21.1']",1.21.1
animatecraft-lankeren,rqoNUSYX,AnimateCraft: Lankeren,177473,"['adventure', 'challenging', 'combat', 'fabric', 'multiplayer']",['1.20.1'],1.20.1
zombie-storm-100-days,jzO4AHJD,Zombie Storm 100 Days,177153,"['adventure', 'challenging', 'combat', 'forge', 'multiplayer']",['1.20.1'],1.20.1
rl-craft,Qx4KOI2G,Rising Legends,174279,"['adventure', 'challenging', 'combat', 'fabric', 'magic', 'multiplayer']",['1.20.1'],1.20.1
better-mc-neoforge-bmc5,B37WQ89b,Better MC [NEOFORGE] BMC5,173630,"['adventure', 'combat', 'multiplayer', 'neoforge', 'optimization', 'quests']",['1.21.1'],1.21.1
fpsbooster,B3qfdQCh,FPS Booster,165926,"['fabric', 'lightweight', 'multiplayer', 'optimization']","['1.19.2', '1.20', '1.20.1', '1.20.2', '1.20.4', '1.20.5', '1.20.6', '1.21', '1.21.1', '1.21.2', '1.21.3', '1.21.4', '1.21.5', '1.21.6', '1.21.7', '1.21.8', '1.21.9', '1.21.10', '1.21.11', '26.1', '26.1.1', '26.1.2']",26.1.2
thunder,ehPxCT2J,Thunder,165806,"['fabric', 'lightweight', 'optimization', 'quilt']","['1.16.5', '1.17.1', '1.18.2', '1.19.2', '1.19.3', '1.19.4', '1.20', '1.20.1', '23w32a', '23w33a', '1.20.2-pre1', '1.20.2-pre4', '1.20.2-rc1', '1.20.2', '23w41a', '23w42a', '23w44a', '23w45a', '1.20.3-rc1', '1.20.3', '1.20.4', '24w03b', '24w04a', '24w07a', '24w09a', '24w10a', '24w11a', '24w12a', '24w13a', '24w14potato', '1.20.5-pre1', '1.20.5-rc2', '1.20.5-rc3', '1.20.5', '1.20.6', '24w18a', '24w19a', '24w19b', '24w20a', '1.21', '1.21.1', '24w36a', '24w38a', '24w40a', '1.21.2-pre1', '1.21.2-pre2', '1.21.2-pre3', '1.21.2', '1.21.3', '1.21.4', '25w04a', '25w07a', '25w10a', '1.21.5', '25w19a', '1.21.6-pre4', '1.21.6', '1.21.7', '1.21.8', '1.21.9', '1.21.10', '1.21.11', '26.1', '26.1.2']",26.1.2
shingeki-no-craft-modpack,jMjQOK0C,Shingeki no Craft Official Modpack,165517,"['adventure', 'challenging', 'fabric', 'multiplayer']","['1.20.2', '1.20.6', '1.21', '1.21.4', '1.21.8', '1.21.10', '1.21.11']",1.21.11
cobblemon-island,XAuN8CD3,Cobblemon Islands,164755,"['adventure', 'challenging', 'combat', 'fabric', 'forge', 'lightweight', 'multiplayer', 'optimization', 'quests']","['1.20.1', '1.21.1']",1.21.1
one-block-horror-dweller,mvnoIGxi,One block horror,161779,"['adventure', 'challenging', 'combat', 'forge', 'multiplayer']",['1.19.2'],1.19.2
shalz-one-block-survival-create,JMy1PlL1,Shalz One Block Survival Create,156717,"['challenging', 'fabric', 'multiplayer', 'technology']",['1.20.1'],1.20.1
fps-essentials,WeGC6tLm,FPS Essentials,154830,"['fabric', 'lightweight', 'multiplayer', 'optimization']","['1.20', '1.20.1', '1.20.2', '1.21.5']",1.21.5
chaseters-spoopy-modpack,V5Po0cpt,Chaseter's Spoopy Modpack,154811,"['adventure', 'challenging', 'combat', 'forge']",['1.12.2'],1.12.2
alaskan-wilderness,xlldJYiz,Alaskan Wilderness,154719,"['adventure', 'challenging', 'combat', 'forge']",['1.20.1'],1.20.1
essentials++,yVWMnzS8,Essentials++,149896,"['fabric', 'lightweight', 'multiplayer', 'optimization']","['1.16.5', '1.19.2', '1.19.3', '1.19.4', '1.20.1', '1.20.4', '1.21', '1.21.1', '1.21.4', '1.21.5', '1.21.8', '1.21.11']",1.21.11
speedrun,1uJaMUOm,SpeedrunPack,148141,"['challenging', 'fabric', 'lightweight', 'multiplayer', 'optimization']","['1.14.4', '1.15.2', '1.16.1', '1.16.5', '1.17', '1.17.1', '1.18.1', '1.18.2', '1.19.2', '1.19.4', '1.20.1', '1.20.4', '1.20.6', '1.21', '1.21.1', '1.21.3', '1.21.4', '1.21.5', '25w14craftmine', '1.21.6', '1.21.7', '1.21.8', '1.21.10', '1.21.11', '26.1', '26.1.1']",26.1.1
winter-zombies,5Rf6PLOA,Winter Zombies,145437,"['adventure', 'challenging', 'combat', 'forge']",['1.12.2'],1.12.2
fatcat-jujutsu-kaisen,lkOufejh,FatCat Jujutsu Kaisen,19275,"['adventure', 'challenging', 'combat', 'forge', 'multiplayer']",['1.20.1'],1.20.1
pvpp,sZ7SaWQJ,PVP Pack,19243,"['combat', 'fabric', 'lightweight', 'optimization', 'quilt']","['1.21.4', '1.21.5', '1.21.6', '1.21.7', '1.21.8', '1.21.9', '1.21.10', '1.21.11']",1.21.11
spi-pack,dsRylf7F,SPI Pack,19224,"['fabric', 'multiplayer', 'optimization', 'quilt']","['1.20.1', '1.20.4', '1.21', '1.21.1', '1.21.8']",1.21.8
poke-legends-cobblemon,ydXGXFMZ,Cobblemon - Poke Legends,19192,"['adventure', 'combat', 'fabric', 'lightweight', 'multiplayer', 'optimization', 'quests']",['1.21.1'],1.21.1
more-animals,mwh31rWj,More Animals 2,19078,"['adventure', 'combat', 'lightweight', 'multiplayer', 'neoforge']",['1.21.1'],1.21.1
spectral-creation,eqbP6Ycz,Spectral Creation,19058,"['adventure', 'challenging', 'combat', 'fabric', 'lightweight', 'magic', 'multiplayer', 'optimization', 'quests', 'technology']","['1.19.2', '1.20.1']",1.20.1
achievetodo-modpack,LOtaYlmy,ATD,19003,"['adventure', 'challenging', 'fabric', 'optimization']",['1.21.4'],1.21.4
fps-and-utility,Z30yF3OE,Fps And Utility,18925,"['fabric', 'lightweight', 'multiplayer', 'optimization']","['1.19.4', '1.20', '1.20.1']",1.20.1
yoru,JYB6M4ar,Yoru,18865,"['fabric', 'lightweight', 'multiplayer', 'optimization', 'quilt']","['1.18.2', '1.19', '1.19.2', '1.19.3', '1.19.4', '1.20.1', '1.20.4', '1.21.1', '1.21.8']",1.21.8
tropimonmodpack,laAfLUJP,Tropimon,18754,"['adventure', 'fabric', 'lightweight', 'multiplayer', 'optimization', 'technology']","['1.20.1', '1.21.1']",1.21.1
vanix,GpcPT5N2,VaniX,18730,"['adventure', 'fabric']",['1.21.1'],1.21.1
alands-immersive-hypixel-skyblock,dSAe4Su8,ALAND's Immersive Hypixel SkyBlock,18718,"['adventure', 'fabric', 'multiplayer', 'optimization']","['1.21.5', '1.21.10', '1.21.11']",1.21.11
tinkers-construct-pack,aDL9ps0f,Tinkers' Construct Pack,18716,"['forge', 'lightweight', 'neoforge', 'optimization', 'technology']","['1.18.2', '1.20.1']",1.20.1
ezfpspojav,BFJYazwY,EZ FPS And The Features For Pojav/Mojo,18713,"['adventure', 'combat', 'fabric', 'lightweight', 'magic', 'multiplayer', 'optimization', 'technology']","['1.20.1', '1.21.1', '1.21.11']",1.21.11
100-days-spores-infection-out-breaks,x0hj7Tcm,100 days : Spores Infection Out Breaks,18684,"['adventure', 'challenging', 'combat', 'forge', 'multiplayer']",['1.20.1'],1.20.1
the-best-optimized,9Q3NQvKl,The Best Optimized,18668,"['fabric', 'forge', 'lightweight', 'optimization', 'quilt', 'technology']","['1.18.2', '1.19.1', '1.19.3', '1.20', '1.20.1', '1.20.2', '1.20.3', '1.20.4', '1.21', '1.21.1', '1.21.2', '1.21.3', '1.21.4', '1.21.5', '1.21.6', '1.21.7', '1.21.8', '1.21.9', '1.21.10', '1.21.11']",1.21.11
